"x","y","Y","M","X","N1","N2"
"1","A1","B1",-1.8235808439231,-0.0102787541695845,0.266338008673333,1,1
"2","A1","B1",-0.849570369915843,-1.32927699324749,-0.0648767150232843,1,1
"3","A1","B1",0.501278381601519,0.155095515449607,-0.616883180600355,0,1
"4","A1","B1",1.25224656801355,-0.124393562262679,0.324346206692713,1,1
"5","A1","B1",-0.399966284303475,-1.46899122883571,-0.116890407020941,1,1
"6","A1","B1",3.5789304949853,1.73246713435436,0.300371675377358,1,1
"7","A1","B1",-0.503183470926922,-1.64021141034794,0.235710193838185,1,1
"8","A1","B1",0.705773199565796,0.610720390018566,-0.851792922920712,1,1
"9","A1","B1",-0.169666813397818,1.0556490720366,0.121554389203944,1,1
"10","A1","B1",1.21885596844888,1.69614280102907,-0.0979141780193291,1,1
"11","A1","B1",0.441543646601507,-0.24105136357202,0.204786721744579,1,1
"12","A1","B1",-2.33017426339634,-2.19669958932014,-1.90965587511553,1,0
"13","A1","B1",-0.247893758108144,-0.611190545097811,-0.550302651851204,0,1
"14","A1","B1",-0.0893821462764434,-0.83185803436933,-1.31246826199871,1,1
"15","A1","B1",0.365939915715835,1.5963373980876,0.770214841172792,0,1
"16","A1","B1",-1.16228877260275,-1.44915477996857,0.141125191747966,1,1
"17","A1","B1",1.09294579228782,1.21515032643996,0.772380607427906,1,1
"18","A1","B1",0.692575043194635,1.13672645830947,-1.40660763729463,1,1
"19","A1","B1",-1.93555549331563,-1.52085093555433,0.0594640709754529,1,1
"20","A1","B1",-0.960437371211194,-0.353788962830366,0.781781748652998,1,1
"21","A1","B1",-1.04012332007156,-1.09418687383244,-0.485374135234626,1,1
"22","A1","B1",-0.932721781945847,-2.78525655115034,-1.59120344546298,1,1
"23","A1","B1",1.45181145864444,0.445794387448689,0.0385219363360238,1,1
"24","A1","B1",2.84549635169136,0.839330416453781,1.7449096785837,1,1
"25","A1","B1",1.80731595784721,2.51587094629969,1.155351865293,1,1
"26","A1","B1",-2.52669931131668,-2.5148775258517,-0.927815945548962,0,1
"27","A1","B1",0.411778521269924,0.846960132248228,0.454236305258918,0,1
"28","A1","B1",-1.00173298165445,-0.424365849482759,-0.805401860044387,0,1
"29","A1","B1",-1.25644887357808,-0.64467087213578,0.100968812697701,0,1
"30","A1","B1",0.902387907410646,0.254791734448136,-1.2605647191192,1,1
"31","A1","B1",-0.666408954419651,-1.24829346314835,-1.12147144673357,1,1
"32","A1","B1",-2.99676694602314,-2.34751584291693,-2.48276152069353,1,1
"33","A1","B1",-3.73685215691996,-2.18449756126984,-0.518126067849431,0,1
"34","A1","B1",-1.60397793413952,-2.56434468405622,-1.65656105910325,1,0
"35","A1","B1",0.25242030584226,-0.908933320579082,-0.362020225499913,1,1
"36","A1","B1",-1.0245994859314,-0.0454813922006416,-0.683741669780071,1,1
"37","A1","B1",-0.2107669703848,0.596590997123106,1.19671462494491,1,1
"38","A1","B1",2.00049453026682,2.40986736120993,1.32069798659853,1,1
"39","A1","B1",-2.64356909461506,-2.13954704323559,-1.12951441523522,1,1
"40","A1","B1",0.51016033274412,-0.625199398296917,-0.0671530909706695,1,1
"41","A1","B1",-2.00615917818969,-1.31192054308775,-0.200910662386768,1,1
"42","A1","B1",3.82276067215667,3.29035440248036,0.325472614604213,0,1
"43","A1","B1",1.28116583451807,1.45964456207487,0.963990725592277,0,1
"44","A1","B1",-0.804416356430055,-1.31240242996255,-1.44382795079232,1,1
"45","A1","B1",-1.00304494130892,-1.47965618629584,-0.321429881304955,1,1
"46","A1","B1",-1.51497457876618,-1.76211426090567,-2.22790628082792,0,1
"47","A1","B1",1.73972971919441,2.1055792870469,0.952627610533476,1,1
"48","A1","B1",-0.954344526285155,-0.883979727770349,0.173334217062144,1,1
"49","A1","B1",-0.8043271636069,-0.241531085488537,-1.28628301554086,1,1
"50","A1","B1",2.70153865983552,1.40992607802697,-0.30915926845828,1,0
"51","A1","B1",1.38321158749654,-0.024143193747437,0.386187844065342,0,0
"52","A1","B1",-2.64473147573877,-1.60464553687846,-3.02888439831251,0,1
"53","A1","B1",-0.482034181323175,0.445066049379937,-0.123548465881586,0,1
"54","A1","B1",-0.299997031696552,-0.92584033714428,0.185923751119682,1,1
"55","A1","B1",0.687618538239005,0.753497485349956,1.1336151781818,1,1
"56","A1","B1",-0.697371425573761,0.012148366954758,-0.225239435349687,1,1
"57","A1","B1",-0.88994074838529,-0.444933852087157,-1.37817836676774,1,1
"58","A1","B1",-0.885542789895534,-1.35181543907741,-0.592461428373764,1,1
"59","A1","B1",-2.83393418262933,-2.91642532018034,-1.54782255877382,0,1
"60","A1","B1",4.50530653189827,2.46512338084071,0.222819484869253,0,1
"61","A1","B1",0.181885921022578,-0.294146624040544,-0.683041981670585,1,1
"62","A1","B1",2.20909687372494,1.44971982000547,0.766992550669532,1,1
"63","A1","B1",-1.20909765427497,-0.624071691384261,0.301859371273411,1,1
"64","A1","B1",-2.74166055810858,-1.95768470315322,-0.261364493195388,1,1
"65","A1","B1",0.69660900111297,1.01216205101422,0.213043454074387,0,1
"66","A1","B1",3.28140606225729,1.6809743896388,1.03824063260813,0,1
"67","A1","B1",-1.20506687466032,-1.02644444428435,-0.885562028318475,1,1
"68","A1","B1",-1.94919161544447,-2.4532613918558,-0.965327634520742,0,1
